ID,Trophies,Wins,Losses,King Tower,Card Level,Total Level Difference,LvlDiff/Match
0,8473.0,5000,126,170,8.0,60.0,1181.0,3.989864864864865
1,3280.0,5000,124,183,8.0,61.0,1174.0,3.824104234527687
2,19786.0,5000,131,158,8.0,63.0,1153.0,3.98961937716263
3,14439.0,5000,128,163,8.0,62.0,945.0,3.247422680412371
4,9646.0,5000,126,188,8.0,60.0,1198.0,3.8152866242038215
5,2895.0,5000,123,160,8.0,61.0,1261.0,4.455830388692579
6,7559.0,5000,137,175,8.0,62.0,1063.0,3.407051282051282
7,24882.0,5000,154,179,8.0,65.0,1130.0,3.3933933933933935
8,7193.0,5000,140,207,8.0,60.0,1443.0,4.1585014409221905
9,13660.0,5000,130,200,8.0,60.0,1312.0,3.9757575757575756
10,11007.0,5000,112,170,8.0,60.0,1245.0,4.414893617021277
11,23635.0,5000,120,199,8.0,60.0,1150.0,3.605015673981191
12,21894.0,5000,145,216,8.0,61.0,1247.0,3.4542936288088644
13,17188.0,5000,130,142,9.0,70.0,1129.0,4.150735294117647
14,9011.0,5000,121,177,8.0,61.0,897.0,3.01006711409396
15,473.0,5000,154,210,8.0,64.0,1203.0,3.3049450549450547
16,1693.0,5000,143,173,8.0,62.0,1222.0,3.867088607594937
17,5509.0,5000,144,182,8.0,63.0,1003.0,3.076687116564417
18,17062.0,5000,137,183,8.0,61.0,1071.0,3.346875
19,3144.0,5000,157,179,8.0,65.0,1145.0,3.4077380952380953
20,10329.0,5000,120,198,8.0,62.0,963.0,3.0283018867924527
21,2508.0,5000,134,189,8.0,60.0,1215.0,3.761609907120743
22,6587.0,5000,127,203,8.0,60.0,1497.0,4.536363636363636
23,17818.0,5000,140,207,8.0,61.0,1194.0,3.440922190201729
24,7188.0,5000,137,186,8.0,63.0,1063.0,3.291021671826625
25,4609.0,5000,136,183,8.0,61.0,1190.0,3.730407523510972
26,17346.0,5000,143,171,8.0,62.0,1196.0,3.8089171974522293
27,24293.0,5000,132,148,8.0,65.0,972.0,3.4714285714285715
28,730.0,5000,140,189,8.0,63.0,1003.0,3.048632218844985
29,6075.0,5000,141,177,8.0,62.0,1038.0,3.2641509433962264
30,23413.0,5000,157,179,8.0,64.0,1019.0,3.0327380952380953
31,19901.0,5000,123,197,8.0,60.0,1271.0,3.971875
