ID,Trophies,Wins,Losses,King Tower,Card Level,Total Level Difference,LvlDiff/Match
0,11380.0,5000,135,185,8.0,60.0,853.0,2.665625
1,21210.0,5000,153,216,8.0,60.0,851.0,2.306233062330623
2,13547.0,5000,139,179,8.0,64.0,1104.0,3.4716981132075473
3,21529.0,5000,142,186,8.0,61.0,737.0,2.2469512195121952
4,2314.0,5000,129,188,8.0,60.0,651.0,2.053627760252366
5,12408.0,5000,126,164,8.0,80.0,1244.0,4.289655172413793
6,7675.0,5000,131,174,8.0,73.0,1241.0,4.0688524590163935
7,16031.0,5000,124,187,8.0,61.0,602.0,1.9356913183279743
8,9318.0,5000,135,178,8.0,60.0,658.0,2.1022364217252396
9,13103.0,5000,133,168,8.0,64.0,994.0,3.302325581395349
10,7005.0,5006,130,172,8.0,60.0,919.0,3.043046357615894
11,11032.0,5007,142,183,8.0,70.0,1335.0,4.107692307692307
12,12733.0,5009,124,165,8.0,60.0,725.0,2.508650519031142
13,10493.0,5009,134,170,8.0,63.0,856.0,2.8157894736842106
14,19471.0,5010,132,203,8.0,60.0,547.0,1.6328358208955225
15,4273.0,5012,153,196,8.0,60.0,981.0,2.810888252148997
16,3156.0,5014,124,188,8.0,60.0,735.0,2.355769230769231
17,16875.0,5014,144,194,8.0,60.0,730.0,2.1597633136094676
18,7600.0,5014,141,189,8.0,61.0,649.0,1.9666666666666666
19,4446.0,5020,147,183,8.0,64.0,1100.0,3.3333333333333335
20,16883.0,5025,126,171,8.0,60.0,621.0,2.090909090909091
21,17878.0,5030,125,184,8.0,76.0,1296.0,4.194174757281553
22,2624.0,5032,150,195,8.0,62.0,780.0,2.260869565217391
23,19554.0,5034,128,165,8.0,72.0,1097.0,3.744027303754266
24,8473.0,5035,114,184,8.0,60.0,415.0,1.3926174496644295
25,5185.0,5037,130,178,8.0,61.0,652.0,2.116883116883117
26,17370.0,5038,131,164,8.0,60.0,719.0,2.4372881355932203
27,2683.0,5039,144,187,8.0,62.0,854.0,2.580060422960725
28,7757.0,5041,156,202,8.0,61.0,787.0,2.1983240223463687
29,21925.0,5041,138,172,8.0,63.0,928.0,2.9935483870967743
30,10162.0,5043,145,187,8.0,60.0,1020.0,3.072289156626506
31,14383.0,5045,151,191,8.0,60.0,1023.0,2.991228070175439
32,15136.0,5047,134,173,8.0,61.0,598.0,1.9478827361563518
33,16065.0,5047,127,173,8.0,61.0,628.0,2.0933333333333333
34,6819.0,5049,137,187,8.0,62.0,792.0,2.4444444444444446
35,15093.0,5049,143,186,8.0,62.0,695.0,2.1124620060790273
36,23380.0,5051,144,175,8.0,71.0,1220.0,3.824451410658307
37,21194.0,5051,141,178,8.0,65.0,1182.0,3.7053291536050157
38,15643.0,5052,148,183,8.0,62.0,986.0,2.9788519637462234
39,15939.0,5059,142,183,8.0,60.0,810.0,2.4923076923076923
40,2466.0,5060,144,175,8.0,61.0,1031.0,3.231974921630094
41,17062.0,5060,129,168,8.0,61.0,844.0,2.8417508417508417
42,540.0,5061,142,179,8.0,61.0,723.0,2.2523364485981308
43,23996.0,5065,155,198,8.0,64.0,1313.0,3.7195467422096318
44,23266.0,5065,114,167,9.0,84.0,1144.0,4.0711743772241995
45,7839.0,5066,141,188,9.0,85.0,1410.0,4.285714285714286
46,15677.0,5069,151,180,8.0,65.0,1145.0,3.459214501510574
47,19102.0,5070,138,180,8.0,61.0,606.0,1.9056603773584906
48,7437.0,5070,134,177,8.0,62.0,628.0,2.0192926045016075
49,5476.0,5075,140,176,8.0,76.0,1311.0,4.14873417721519
50,24399.0,5078,128,181,8.0,61.0,562.0,1.8187702265372168
51,12947.0,5079,136,173,8.0,77.0,1222.0,3.954692556634304
52,6587.0,5079,129,168,8.0,60.0,804.0,2.707070707070707
53,298.0,5079,126,173,8.0,60.0,785.0,2.6254180602006687
54,12699.0,5079,144,172,8.0,64.0,1204.0,3.810126582278481
55,13660.0,5080,143,194,8.0,60.0,738.0,2.1899109792284865
56,14096.0,5080,138,169,10.0,86.0,1276.0,4.156351791530945
57,13913.0,5080,138,178,8.0,78.0,1334.0,4.2215189873417724
58,22568.0,5081,145,181,9.0,82.0,1324.0,4.061349693251533
59,6413.0,5081,132,160,8.0,64.0,1072.0,3.671232876712329
60,1217.0,5081,132,194,8.0,60.0,829.0,2.542944785276074
61,19739.0,5082,143,185,8.0,74.0,1322.0,4.030487804878049
62,18453.0,5083,135,178,8.0,62.0,705.0,2.252396166134185
63,9237.0,5084,151,185,8.0,79.0,1443.0,4.294642857142857
64,14008.0,5086,138,169,8.0,60.0,840.0,2.736156351791531
65,21614.0,5090,128,167,8.0,61.0,802.0,2.7186440677966104
66,13425.0,5090,141,176,8.0,80.0,1456.0,4.593059936908517
67,5649.0,5090,125,168,8.0,60.0,734.0,2.5051194539249146
68,21895.0,5090,156,191,8.0,65.0,1249.0,3.599423631123919
69,14285.0,5090,138,176,8.0,62.0,837.0,2.6656050955414012
70,4997.0,5090,124,172,8.0,60.0,485.0,1.6385135135135136
