ID,Trophies,Wins,Losses,King Tower,Card Level,Total Level Difference,LvlDiff/Match
0,16741.0,5000,126,175,8.0,60.0,707.0,2.3488372093023258
1,24831.0,5000,129,183,8.0,61.0,658.0,2.108974358974359
2,4273.0,5000,138,187,8.0,60.0,801.0,2.4646153846153847
3,3261.0,5000,131,171,8.0,61.0,1348.0,4.4635761589403975
4,22517.0,5000,125,191,8.0,60.0,605.0,1.9145569620253164
5,2512.0,5000,122,162,8.0,61.0,699.0,2.461267605633803
6,12733.0,5000,135,181,8.0,60.0,1255.0,3.971518987341772
7,8396.0,5000,128,172,8.0,61.0,927.0,3.09
8,16075.0,5000,139,191,8.0,60.0,982.0,2.9757575757575756
9,9011.0,5000,134,191,8.0,61.0,641.0,1.9723076923076923
10,6702.0,5006,135,187,8.0,60.0,1181.0,3.6677018633540373
11,1701.0,5009,119,175,8.0,60.0,948.0,3.2244897959183674
12,22860.0,5010,123,166,8.0,61.0,457.0,1.5813148788927336
13,11601.0,5010,121,170,8.0,61.0,642.0,2.2061855670103094
14,4595.0,5010,153,219,8.0,60.0,1155.0,3.1048387096774195
15,9158.0,5014,142,183,8.0,60.0,1142.0,3.513846153846154
16,4006.0,5014,118,177,8.0,60.0,619.0,2.0983050847457627
17,18703.0,5014,139,191,8.0,61.0,1186.0,3.5939393939393938
18,2429.0,5020,131,176,8.0,60.0,1141.0,3.7166123778501627
19,7526.0,5024,140,183,8.0,60.0,1022.0,3.1640866873065017
20,3672.0,5025,150,193,8.0,61.0,1490.0,4.34402332361516
21,20569.0,5026,136,179,8.0,63.0,1312.0,4.165079365079365
22,21480.0,5026,129,177,8.0,60.0,782.0,2.5555555555555554
23,13058.0,5027,142,190,8.0,62.0,1007.0,3.033132530120482
24,14779.0,5030,135,194,8.0,60.0,997.0,3.0303951367781155
25,22827.0,5030,126,163,8.0,62.0,1233.0,4.26643598615917
26,21291.0,5030,129,197,8.0,60.0,834.0,2.558282208588957
27,18804.0,5031,125,199,8.0,60.0,628.0,1.9382716049382716
28,17682.0,5032,125,181,8.0,60.0,491.0,1.6045751633986929
29,11559.0,5035,123,177,8.0,61.0,607.0,2.0233333333333334
30,21897.0,5036,128,185,8.0,62.0,522.0,1.6677316293929711
31,7406.0,5037,138,183,8.0,60.0,906.0,2.822429906542056
32,16883.0,5038,141,187,8.0,60.0,792.0,2.4146341463414633
33,19677.0,5038,143,187,8.0,62.0,1047.0,3.172727272727273
