ID,Trophies,Wins,Losses,King Tower,Card Level,Total Level Difference,LvlDiff/Match
0,11011.0,5000,106,215,8.0,60.0,1215.0,3.7850467289719627
1,13832.0,5000,154,174,10.0,95.0,640.0,1.951219512195122
2,9062.0,5000,149,186,8.0,75.0,515.0,1.537313432835821
3,3174.0,5000,154,182,8.0,80.0,619.0,1.8422619047619047
4,10359.0,5000,122,180,8.0,62.0,699.0,2.314569536423841
5,24996.0,5000,143,190,8.0,79.0,360.0,1.0810810810810811
6,23298.0,5000,143,158,9.0,79.0,414.0,1.3754152823920265
7,16641.0,5000,133,174,8.0,76.0,376.0,1.224755700325733
8,5640.0,5000,149,175,8.0,74.0,506.0,1.5617283950617284
9,14243.0,5000,138,186,8.0,80.0,410.0,1.2654320987654322
10,23753.0,5000,128,176,8.0,67.0,1248.0,4.105263157894737
11,15494.0,5000,152,171,9.0,71.0,483.0,1.4953560371517027
12,23458.0,5000,168,184,9.0,76.0,443.0,1.2585227272727273
13,21740.0,5000,141,174,8.0,68.0,656.0,2.0825396825396827
14,21089.0,5000,147,182,8.0,76.0,771.0,2.3434650455927053
15,14429.0,5000,140,161,9.0,74.0,574.0,1.9069767441860466
16,3541.0,5000,147,174,9.0,69.0,423.0,1.3177570093457944
17,3499.0,5000,132,148,9.0,71.0,335.0,1.1964285714285714
18,8134.0,5000,140,169,8.0,74.0,376.0,1.2168284789644013
19,18068.0,5000,112,175,8.0,62.0,1139.0,3.9686411149825784
20,13797.0,5000,154,180,9.0,72.0,486.0,1.4550898203592815
21,21638.0,5000,165,177,9.0,75.0,474.0,1.3859649122807018
22,23388.0,5000,169,194,10.0,78.0,708.0,1.9504132231404958
23,3292.0,5000,151,167,10.0,91.0,596.0,1.8742138364779874
24,5948.0,5000,130,161,8.0,70.0,489.0,1.6804123711340206
25,12191.0,5000,138,176,9.0,68.0,540.0,1.7197452229299364
26,18165.0,5000,133,169,8.0,77.0,447.0,1.4801324503311257
27,1310.0,5000,141,173,8.0,65.0,325.0,1.035031847133758
28,17913.0,5000,119,163,8.0,68.0,1092.0,3.872340425531915
29,18330.0,5000,141,172,9.0,68.0,936.0,2.990415335463259
30,12869.0,5000,145,164,9.0,81.0,431.0,1.3948220064724919
31,22323.0,5000,135,172,8.0,68.0,333.0,1.0846905537459284
32,6413.0,5000,132,167,8.0,64.0,569.0,1.9030100334448161
33,12834.0,5000,139,189,8.0,68.0,1244.0,3.792682926829268
34,16262.0,5000,156,179,9.0,76.0,544.0,1.6238805970149253
