ID,Trophies,Wins,Losses,King Tower,Card Level,Total Level Difference,LvlDiff/Match
0,10.0,5000,151,196,8.0,61.0,933.0,2.6887608069164264
1,7351.0,5000,132,169,8.0,62.0,961.0,3.1926910299003324
2,18561.0,5000,139,177,8.0,61.0,1128.0,3.569620253164557
3,10400.0,5000,137,184,8.0,61.0,720.0,2.2429906542056073
4,15316.0,5000,128,174,8.0,61.0,698.0,2.3112582781456954
5,16075.0,5000,146,188,8.0,60.0,1123.0,3.3622754491017965
6,1512.0,5000,123,170,8.0,60.0,668.0,2.279863481228669
7,10236.0,5000,114,177,8.0,60.0,597.0,2.051546391752577
8,19319.0,5005,130,192,8.0,60.0,770.0,2.391304347826087
9,14693.0,5007,144,191,8.0,62.0,781.0,2.3313432835820898
10,13421.0,5007,130,179,8.0,60.0,1198.0,3.8770226537216828
11,11234.0,5008,124,187,8.0,60.0,689.0,2.215434083601286
12,2512.0,5011,138,174,8.0,61.0,705.0,2.2596153846153846
13,3176.0,5013,138,193,8.0,60.0,774.0,2.338368580060423
14,1693.0,5014,132,168,8.0,62.0,758.0,2.526666666666667
15,7438.0,5015,134,171,8.0,61.0,712.0,2.3344262295081966
16,13578.0,5016,130,196,8.0,60.0,607.0,1.861963190184049
17,3156.0,5018,135,205,8.0,60.0,760.0,2.235294117647059
18,19084.0,5023,135,201,8.0,60.0,924.0,2.75
19,4359.0,5023,130,173,8.0,61.0,780.0,2.5742574257425743
20,22684.0,5025,166,212,8.0,64.0,864.0,2.2857142857142856
21,24307.0,5028,144,186,8.0,61.0,971.0,2.9424242424242424
22,17707.0,5030,138,182,8.0,62.0,906.0,2.83125
23,16427.0,5030,131,165,8.0,61.0,1060.0,3.581081081081081
24,12262.0,5030,145,189,8.0,60.0,970.0,2.904191616766467
25,12730.0,5030,125,174,8.0,61.0,580.0,1.939799331103679
26,2624.0,5030,140,182,8.0,62.0,858.0,2.6645962732919255
27,22834.0,5030,143,186,8.0,62.0,679.0,2.0638297872340425
28,8242.0,5030,120,180,8.0,60.0,528.0,1.76
29,14383.0,5030,141,197,8.0,60.0,737.0,2.1804733727810652
30,9646.0,5033,129,178,8.0,60.0,623.0,2.029315960912052
31,22517.0,5034,157,206,8.0,60.0,1122.0,3.090909090909091
32,15751.0,5035,129,195,8.0,60.0,899.0,2.7746913580246915
33,18990.0,5039,127,167,8.0,60.0,773.0,2.629251700680272
34,21845.0,5043,133,194,8.0,60.0,794.0,2.4281345565749235
35,24348.0,5044,143,180,8.0,63.0,981.0,3.0371517027863777
36,16758.0,5044,143,185,8.0,61.0,1022.0,3.1158536585365852
37,60.0,5048,131,178,8.0,61.0,583.0,1.8867313915857604
38,22260.0,5049,134,178,8.0,61.0,861.0,2.7596153846153846
39,7406.0,5054,137,170,8.0,60.0,1275.0,4.153094462540716
40,23291.0,5054,141,174,8.0,63.0,1109.0,3.5206349206349206
41,7600.0,5056,132,179,8.0,61.0,466.0,1.4983922829581993
42,17273.0,5058,118,154,8.0,60.0,775.0,2.849264705882353
43,10610.0,5060,127,187,8.0,60.0,683.0,2.1751592356687897
44,5714.0,5064,138,182,8.0,60.0,908.0,2.8375
45,17704.0,5065,131,168,8.0,61.0,752.0,2.5150501672240804
46,7943.0,5066,140,176,8.0,63.0,830.0,2.6265822784810124
47,13660.0,5067,128,182,8.0,60.0,809.0,2.609677419354839
48,22288.0,5068,145,177,8.0,63.0,777.0,2.4130434782608696
49,7129.0,5068,149,190,8.0,61.0,1178.0,3.4749262536873156
50,11658.0,5070,158,195,8.0,63.0,1092.0,3.093484419263456
51,21480.0,5070,136,178,8.0,60.0,941.0,2.9968152866242037
52,12607.0,5070,144,185,8.0,64.0,682.0,2.072948328267477
53,12733.0,5071,135,179,8.0,60.0,762.0,2.426751592356688
54,2466.0,5071,136,180,8.0,61.0,784.0,2.481012658227848
55,926.0,5072,132,189,8.0,60.0,791.0,2.4641744548286604
56,5068.0,5072,118,172,8.0,60.0,714.0,2.462068965517241
57,17922.0,5072,130,172,8.0,60.0,853.0,2.8245033112582782
58,10542.0,5073,133,168,8.0,62.0,641.0,2.129568106312292
59,21789.0,5073,140,174,8.0,66.0,576.0,1.8343949044585988
60,17376.0,5074,142,169,8.0,66.0,1055.0,3.392282958199357
61,17682.0,5074,124,167,8.0,60.0,650.0,2.2336769759450172
62,22845.0,5078,143,184,8.0,62.0,847.0,2.5902140672782874
63,18900.0,5078,135,166,8.0,60.0,1206.0,4.0066445182724255
64,18663.0,5078,143,188,8.0,61.0,631.0,1.906344410876133
65,1455.0,5080,125,177,8.0,60.0,571.0,1.890728476821192
66,213.0,5081,137,168,8.0,67.0,1248.0,4.091803278688524
67,14779.0,5081,146,195,8.0,60.0,1258.0,3.689149560117302
68,3521.0,5084,138,175,8.0,62.0,593.0,1.8945686900958467
69,632.0,5084,140,188,8.0,63.0,610.0,1.8597560975609757
70,9482.0,5085,126,181,8.0,61.0,547.0,1.781758957654723
71,19677.0,5086,140,179,8.0,62.0,728.0,2.282131661442006
72,11558.0,5086,139,188,8.0,62.0,563.0,1.7217125382262997
73,15145.0,5089,147,188,8.0,63.0,637.0,1.9014925373134328
74,8250.0,5089,155,203,8.0,61.0,698.0,1.9497206703910615
75,9278.0,5091,137,179,8.0,61.0,887.0,2.8069620253164556
76,4701.0,5092,140,197,8.0,60.0,727.0,2.1572700296735907
77,9819.0,5092,131,162,8.0,67.0,847.0,2.8907849829351537
78,17290.0,5092,132,168,8.0,61.0,969.0,3.23
79,22765.0,5092,150,189,8.0,61.0,1495.0,4.410029498525073
80,3949.0,5093,157,196,8.0,60.0,1174.0,3.3257790368271953
81,23024.0,5093,136,188,8.0,60.0,896.0,2.765432098765432
82,8008.0,5093,128,188,8.0,62.0,520.0,1.6455696202531647
83,18548.0,5093,140,181,8.0,60.0,1073.0,3.3426791277258565
84,16433.0,5094,150,193,8.0,60.0,1191.0,3.4723032069970845
85,8284.0,5095,116,161,8.0,60.0,743.0,2.6823104693140793
86,14250.0,5095,140,176,8.0,64.0,802.0,2.537974683544304
87,21210.0,5097,136,179,8.0,60.0,980.0,3.111111111111111
88,7981.0,5097,146,188,8.0,61.0,1263.0,3.781437125748503
89,21485.0,5098,137,178,8.0,62.0,738.0,2.342857142857143
90,22241.0,5099,143,182,8.0,62.0,714.0,2.1969230769230768
91,15526.0,5100,146,175,8.0,63.0,1176.0,3.663551401869159
92,17974.0,5101,127,163,8.0,60.0,685.0,2.3620689655172415
93,19717.0,5102,145,180,8.0,60.0,1477.0,4.544615384615384
94,1234.0,5102,137,181,8.0,61.0,634.0,1.9937106918238994
95,10156.0,5104,141,175,8.0,65.0,940.0,2.9746835443037973
96,4609.0,5104,126,164,8.0,61.0,563.0,1.9413793103448276
97,135.0,5104,148,186,8.0,62.0,827.0,2.4760479041916166
98,2758.0,5104,144,194,8.0,60.0,1085.0,3.210059171597633
99,22292.0,5105,123,163,8.0,60.0,678.0,2.370629370629371
100,23417.0,5106,138,168,8.0,61.0,1119.0,3.656862745098039
101,8974.0,5106,138,180,8.0,61.0,719.0,2.261006289308176
102,3227.0,5108,161,201,8.0,61.0,1432.0,3.955801104972376
103,24182.0,5108,146,194,8.0,61.0,635.0,1.8676470588235294
104,14926.0,5109,145,177,8.0,62.0,847.0,2.630434782608696
105,12847.0,5109,108,169,8.0,60.0,503.0,1.815884476534296
106,1704.0,5110,138,173,8.0,60.0,1438.0,4.62379421221865
107,18221.0,5110,150,193,8.0,61.0,975.0,2.8425655976676385
108,1210.0,5110,141,179,8.0,60.0,1092.0,3.4125
109,18847.0,5110,140,180,8.0,62.0,878.0,2.74375
110,23697.0,5111,150,183,8.0,62.0,1092.0,3.279279279279279
111,8188.0,5111,156,192,8.0,63.0,916.0,2.632183908045977
112,3407.0,5111,131,160,8.0,70.0,676.0,2.323024054982818
113,9342.0,5111,122,171,8.0,60.0,633.0,2.160409556313993
114,24584.0,5112,150,179,8.0,64.0,971.0,2.951367781155015
115,13058.0,5113,142,190,8.0,62.0,828.0,2.4939759036144578
116,22602.0,5114,146,180,8.0,62.0,747.0,2.291411042944785
117,22429.0,5115,140,191,8.0,60.0,819.0,2.474320241691843
118,23141.0,5116,123,155,8.0,62.0,683.0,2.4568345323741005
119,22170.0,5116,138,174,8.0,63.0,919.0,2.9455128205128207
120,14837.0,5117,133,164,8.0,61.0,963.0,3.242424242424242
121,12105.0,5118,123,158,8.0,61.0,679.0,2.416370106761566
122,22089.0,5119,136,167,8.0,67.0,772.0,2.547854785478548
123,10594.0,5119,128,171,8.0,61.0,512.0,1.7123745819397993
124,11677.0,5121,142,181,8.0,62.0,550.0,1.7027863777089782
125,18176.0,5121,145,183,8.0,61.0,781.0,2.3810975609756095
126,18501.0,5122,142,183,8.0,60.0,742.0,2.2830769230769232
127,12754.0,5123,130,157,8.0,62.0,1090.0,3.797909407665505
128,15513.0,5123,135,187,8.0,61.0,622.0,1.9316770186335404
129,4356.0,5124,143,177,8.0,63.0,1008.0,3.15
130,298.0,5126,133,180,8.0,60.0,716.0,2.2875399361022364
131,23524.0,5126,124,182,8.0,61.0,443.0,1.4477124183006536
132,18703.0,5127,131,174,8.0,61.0,476.0,1.560655737704918
133,16699.0,5127,143,172,8.0,65.0,1341.0,4.257142857142857
134,7484.0,5127,157,196,8.0,62.0,1194.0,3.3824362606232294
135,15627.0,5127,128,156,8.0,62.0,1090.0,3.8380281690140845
136,22612.0,5130,135,177,8.0,60.0,1014.0,3.25
137,11726.0,5130,151,185,8.0,60.0,1290.0,3.8392857142857144
138,14772.0,5131,112,170,8.0,60.0,591.0,2.095744680851064
139,8661.0,5131,144,184,8.0,60.0,1034.0,3.152439024390244
140,14485.0,5132,134,188,8.0,60.0,655.0,2.0341614906832297
141,22402.0,5132,133,167,8.0,62.0,590.0,1.9666666666666666
142,3444.0,5132,144,202,8.0,60.0,875.0,2.5289017341040463
143,685.0,5132,133,180,8.0,60.0,649.0,2.073482428115016
144,9318.0,5133,139,176,8.0,60.0,923.0,2.93015873015873
145,9840.0,5134,140,177,8.0,60.0,1121.0,3.5362776025236595
146,21429.0,5136,135,192,8.0,60.0,700.0,2.140672782874618
147,16058.0,5136,135,190,8.0,60.0,825.0,2.5384615384615383
148,9972.0,5136,144,193,8.0,60.0,1238.0,3.6735905044510386
149,17572.0,5136,124,160,8.0,62.0,745.0,2.6232394366197185
150,14758.0,5136,125,176,8.0,61.0,648.0,2.1528239202657806
151,17416.0,5136,129,155,8.0,64.0,1222.0,4.302816901408451
152,20516.0,5137,156,195,8.0,63.0,814.0,2.319088319088319
153,3669.0,5137,148,184,8.0,66.0,800.0,2.4096385542168677
154,7101.0,5138,130,169,8.0,61.0,721.0,2.411371237458194
155,13409.0,5138,139,178,8.0,61.0,1127.0,3.555205047318612
156,7919.0,5138,131,162,8.0,62.0,804.0,2.744027303754266
157,4428.0,5139,158,187,8.0,63.0,1052.0,3.0492753623188404
158,11664.0,5139,154,188,8.0,62.0,1164.0,3.4035087719298245
159,8534.0,5140,128,156,9.0,68.0,811.0,2.8556338028169015
160,24203.0,5140,152,194,8.0,63.0,673.0,1.9450867052023122
161,6446.0,5140,142,205,8.0,60.0,743.0,2.1412103746397695
162,20650.0,5142,135,169,8.0,62.0,852.0,2.8026315789473686
163,4273.0,5143,134,177,8.0,60.0,650.0,2.090032154340836
164,20351.0,5143,120,168,8.0,60.0,703.0,2.4409722222222223
165,8770.0,5143,139,188,8.0,61.0,667.0,2.0397553516819573
166,20902.0,5144,144,177,8.0,60.0,1045.0,3.2554517133956384
167,9305.0,5144,138,178,8.0,60.0,769.0,2.4335443037974684
168,13535.0,5145,160,201,8.0,62.0,1082.0,2.9972299168975067
169,16.0,5147,144,176,8.0,63.0,1213.0,3.790625
170,21195.0,5147,145,178,8.0,62.0,1185.0,3.668730650154799
171,4829.0,5148,131,174,8.0,63.0,595.0,1.9508196721311475
172,6224.0,5149,144,193,8.0,61.0,519.0,1.540059347181009
173,16270.0,5149,142,166,8.0,65.0,1273.0,4.133116883116883
174,19020.0,5150,121,153,8.0,60.0,873.0,3.1861313868613137
175,1688.0,5151,139,180,8.0,62.0,487.0,1.5266457680250785
176,23176.0,5151,137,171,8.0,61.0,772.0,2.5064935064935066
177,23937.0,5151,131,169,8.0,61.0,740.0,2.466666666666667
178,4997.0,5152,126,182,8.0,60.0,552.0,1.7922077922077921
179,17363.0,5153,139,182,8.0,60.0,865.0,2.694704049844237
180,13070.0,5155,133,170,8.0,61.0,758.0,2.5016501650165015
181,12722.0,5157,137,174,8.0,61.0,651.0,2.0932475884244375
182,8792.0,5157,135,167,8.0,62.0,1033.0,3.4205298013245033
183,6473.0,5157,124,152,8.0,62.0,804.0,2.9130434782608696
184,20554.0,5157,147,176,8.0,67.0,1196.0,3.7027863777089784
185,17674.0,5159,125,196,8.0,60.0,579.0,1.8037383177570094
186,22870.0,5159,147,175,8.0,63.0,832.0,2.5838509316770186
187,3672.0,5159,130,161,8.0,61.0,753.0,2.5876288659793816
188,10991.0,5160,154,198,8.0,62.0,917.0,2.6051136363636362
189,1871.0,5160,141,180,8.0,63.0,890.0,2.7725856697819315
190,15913.0,5160,145,182,8.0,62.0,749.0,2.290519877675841
191,1701.0,5161,131,172,8.0,60.0,888.0,2.9306930693069306
192,24897.0,5161,123,169,8.0,60.0,816.0,2.7945205479452055
193,70.0,5161,149,189,8.0,60.0,992.0,2.93491124260355
194,17547.0,5161,145,191,8.0,61.0,829.0,2.4672619047619047
195,17851.0,5161,135,166,8.0,61.0,1149.0,3.8172757475083055
196,10615.0,5161,142,165,8.0,62.0,1053.0,3.429967426710098
197,5942.0,5162,153,182,8.0,69.0,869.0,2.5940298507462685
198,21122.0,5163,147,175,8.0,65.0,947.0,2.940993788819876
199,6805.0,5163,132,181,8.0,60.0,727.0,2.3226837060702876
200,16050.0,5163,153,189,8.0,64.0,703.0,2.0555555555555554
201,7365.0,5164,129,159,8.0,60.0,1098.0,3.8125
202,15399.0,5165,127,175,8.0,61.0,547.0,1.8112582781456954
203,23308.0,5167,137,169,8.0,66.0,841.0,2.7483660130718954
204,14392.0,5167,139,175,8.0,60.0,868.0,2.7643312101910826
205,6901.0,5168,153,185,8.0,62.0,895.0,2.6479289940828403
206,19656.0,5168,129,179,8.0,60.0,697.0,2.262987012987013
207,20569.0,5170,128,164,8.0,63.0,740.0,2.5342465753424657
208,6702.0,5171,132,176,8.0,60.0,888.0,2.883116883116883
209,2851.0,5172,132,174,8.0,62.0,575.0,1.8790849673202614
210,5185.0,5172,134,172,8.0,61.0,722.0,2.3594771241830066
211,24135.0,5172,139,172,8.0,62.0,789.0,2.536977491961415
212,10365.0,5173,138,183,8.0,61.0,780.0,2.4299065420560746
213,12707.0,5173,128,175,8.0,60.0,803.0,2.65016501650165
214,16996.0,5173,127,160,8.0,61.0,633.0,2.205574912891986
215,23900.0,5173,148,185,8.0,62.0,660.0,1.981981981981982
216,3702.0,5174,126,178,8.0,60.0,476.0,1.5657894736842106
217,20179.0,5174,130,164,8.0,62.0,743.0,2.5272108843537415
218,2682.0,5175,128,172,8.0,60.0,666.0,2.22
219,16684.0,5175,157,191,8.0,64.0,816.0,2.3448275862068964
220,7417.0,5176,151,174,8.0,66.0,1387.0,4.2676923076923075
221,17917.0,5176,146,181,8.0,61.0,946.0,2.8929663608562692
222,10360.0,5176,146,182,8.0,61.0,746.0,2.274390243902439
223,20896.0,5177,148,171,9.0,70.0,745.0,2.335423197492163
224,16634.0,5177,144,184,8.0,62.0,862.0,2.6280487804878048
225,10031.0,5177,141,185,8.0,61.0,671.0,2.058282208588957
226,14341.0,5177,151,180,8.0,65.0,992.0,2.996978851963746
227,20275.0,5177,146,178,8.0,63.0,866.0,2.6728395061728394
228,4896.0,5178,154,182,8.0,62.0,1134.0,3.375
229,9011.0,5178,148,181,8.0,61.0,1041.0,3.164133738601824
230,17338.0,5178,142,174,8.0,62.0,792.0,2.5063291139240507
231,22515.0,5178,132,164,8.0,62.0,522.0,1.7635135135135136
232,7193.0,5179,146,189,8.0,60.0,1184.0,3.5343283582089553
233,15586.0,5179,137,176,8.0,60.0,1065.0,3.402555910543131
234,5732.0,5179,146,178,8.0,61.0,741.0,2.287037037037037
235,10965.0,5180,160,202,8.0,61.0,902.0,2.4917127071823204
236,7021.0,5180,149,184,8.0,60.0,961.0,2.885885885885886
237,22538.0,5181,139,174,8.0,61.0,906.0,2.8945686900958467
238,849.0,5182,142,175,8.0,63.0,651.0,2.053627760252366
239,14580.0,5183,152,183,8.0,64.0,973.0,2.9044776119402984
240,24670.0,5183,140,176,8.0,60.0,1156.0,3.6582278481012658
241,19786.0,5183,163,197,8.0,63.0,1088.0,3.022222222222222
242,3428.0,5183,127,173,8.0,62.0,436.0,1.4533333333333334
243,19597.0,5184,136,161,8.0,67.0,890.0,2.9966329966329965
244,22401.0,5185,143,189,8.0,60.0,1073.0,3.2319277108433737
245,4595.0,5185,135,187,8.0,60.0,1028.0,3.1925465838509317
246,19177.0,5187,136,162,8.0,61.0,840.0,2.8187919463087248
247,5763.0,5187,137,172,8.0,61.0,768.0,2.4854368932038833
248,22055.0,5187,129,174,8.0,62.0,533.0,1.7590759075907592
249,18089.0,5187,145,174,8.0,63.0,828.0,2.595611285266458
250,24826.0,5188,130,167,8.0,61.0,1174.0,3.952861952861953
251,16988.0,5188,134,178,8.0,61.0,723.0,2.3173076923076925
252,15051.0,5188,141,166,8.0,69.0,776.0,2.527687296416938
253,7526.0,5188,142,190,8.0,60.0,800.0,2.4096385542168677
254,19550.0,5188,138,169,8.0,71.0,574.0,1.8697068403908794
255,24786.0,5189,137,167,8.0,62.0,997.0,3.2796052631578947
256,5101.0,5189,146,179,8.0,62.0,946.0,2.9107692307692306
257,5125.0,5189,149,187,8.0,62.0,830.0,2.4702380952380953
258,7997.0,5189,138,162,8.0,67.0,980.0,3.2666666666666666
259,4723.0,5190,135,182,8.0,61.0,658.0,2.0757097791798107
260,2683.0,5191,133,166,8.0,62.0,691.0,2.311036789297659
261,11328.0,5191,149,181,8.0,76.0,582.0,1.7636363636363637
262,5159.0,5191,139,170,8.0,66.0,760.0,2.459546925566343
263,12937.0,5192,141,190,8.0,61.0,650.0,1.9637462235649548
264,2644.0,5192,166,208,8.0,62.0,1046.0,2.7967914438502675
265,16115.0,5193,137,168,8.0,61.0,929.0,3.045901639344262
266,18431.0,5193,147,177,8.0,69.0,649.0,2.003086419753086
267,7568.0,5194,131,161,8.0,61.0,697.0,2.386986301369863
268,11380.0,5195,140,194,8.0,60.0,979.0,2.931137724550898
269,16093.0,5196,164,196,8.0,69.0,755.0,2.0972222222222223
270,15197.0,5197,130,174,8.0,62.0,530.0,1.743421052631579
271,17304.0,5198,146,180,8.0,62.0,794.0,2.4355828220858897
272,18706.0,5198,145,172,8.0,64.0,1038.0,3.274447949526814
273,19484.0,5199,133,170,8.0,62.0,614.0,2.0264026402640263
274,24280.0,5199,144,175,8.0,64.0,732.0,2.2946708463949843
275,10781.0,5200,152,182,8.0,66.0,606.0,1.81437125748503
276,18804.0,5200,125,163,8.0,60.0,784.0,2.7222222222222223
277,6726.0,5200,147,173,8.0,66.0,1030.0,3.21875
278,24610.0,5200,128,184,8.0,60.0,685.0,2.1955128205128207
279,4006.0,5200,147,179,8.0,60.0,899.0,2.7576687116564416
280,15900.0,5200,154,180,8.0,63.0,1296.0,3.8802395209580838
