ID,Trophies,Wins,Losses,King Tower,Card Level,Total Level Difference,LvlDiff/Match
0,10942.0,5000.0,174.0,241.0,8.0,60.0,1001.0,2.4120481927710844
1,4006.0,5000.0,183.0,235.0,8.0,60.0,1098.0,2.626794258373206
2,10236.0,5000.0,155.0,247.0,8.0,60.0,661.0,1.644278606965174
3,15762.0,5000.0,178.0,245.0,8.0,61.0,765.0,1.8085106382978724
4,16.0,5000.0,198.0,247.0,8.0,63.0,1566.0,3.5191011235955054
5,9342.0,5000.0,182.0,253.0,8.0,60.0,1152.0,2.6482758620689655
6,9646.0,5000.0,188.0,262.0,8.0,60.0,1226.0,2.7244444444444444
7,21429.0,5000.0,177.0,240.0,8.0,60.0,1002.0,2.402877697841727
8,21894.0,5005.0,188.0,234.0,8.0,61.0,1365.0,3.234597156398104
9,2311.0,5008.0,155.0,226.0,8.0,61.0,843.0,2.2125984251968505
10,24670.0,5012.0,184.0,247.0,8.0,60.0,1133.0,2.62877030162413
11,14485.0,5017.0,182.0,278.0,8.0,60.0,827.0,1.7978260869565217
12,298.0,5017.0,179.0,227.0,8.0,60.0,1371.0,3.376847290640394
13,13991.0,5023.0,174.0,237.0,8.0,60.0,858.0,2.0875912408759123
14,7406.0,5029.0,182.0,238.0,8.0,60.0,1267.0,3.0166666666666666
15,6476.0,5030.0,23.0,43.0,10.0,77.0,407.0,6.166666666666667
16,15513.0,5031.0,186.0,246.0,8.0,61.0,1062.0,2.4583333333333335
17,20410.0,5032.0,185.0,234.0,8.0,64.0,1334.0,3.1837708830548928
18,1704.0,5034.0,183.0,236.0,8.0,60.0,1274.0,3.0405727923627683
19,16875.0,5036.0,188.0,252.0,8.0,60.0,1147.0,2.606818181818182
20,3949.0,5036.0,190.0,252.0,8.0,60.0,1124.0,2.5429864253393664
21,16741.0,5037.0,171.0,251.0,8.0,60.0,889.0,2.1066350710900474
22,6293.0,5041.0,174.0,226.0,8.0,61.0,1504.0,3.76
23,18990.0,5043.0,173.0,233.0,8.0,60.0,893.0,2.1995073891625614
24,16988.0,5044.0,169.0,221.0,8.0,61.0,964.0,2.471794871794872
25,18326.0,5044.0,189.0,237.0,8.0,61.0,1431.0,3.359154929577465
26,16996.0,5048.0,187.0,237.0,8.0,61.0,1251.0,2.9504716981132075
27,8242.0,5048.0,191.0,247.0,8.0,60.0,1127.0,2.5730593607305936
28,14745.0,5049.0,181.0,253.0,8.0,60.0,958.0,2.207373271889401
29,24432.0,5051.0,83.0,106.0,10.0,76.0,1145.0,6.058201058201059
30,9652.0,5053.0,187.0,238.0,8.0,61.0,1235.0,2.9058823529411764
31,685.0,5054.0,185.0,247.0,8.0,60.0,993.0,2.298611111111111
32,8661.0,5054.0,189.0,252.0,8.0,60.0,906.0,2.054421768707483
33,9141.0,5056.0,198.0,247.0,8.0,61.0,1357.0,3.049438202247191
34,14008.0,5058.0,183.0,258.0,8.0,60.0,1215.0,2.7551020408163267
35,18462.0,5058.0,183.0,239.0,8.0,62.0,1194.0,2.829383886255924
36,19901.0,5059.0,182.0,251.0,8.0,60.0,1028.0,2.3741339491916857
37,5649.0,5060.0,173.0,259.0,8.0,60.0,624.0,1.4444444444444444
38,5260.0,5060.0,213.0,263.0,8.0,62.0,1360.0,2.857142857142857
39,14779.0,5064.0,187.0,246.0,8.0,60.0,1301.0,3.004618937644342
40,8909.0,5064.0,192.0,243.0,8.0,61.0,1301.0,2.9908045977011493
41,10400.0,5066.0,166.0,216.0,8.0,61.0,1151.0,3.013089005235602
42,19317.0,5068.0,182.0,262.0,8.0,60.0,1060.0,2.3873873873873874
43,11726.0,5070.0,192.0,266.0,8.0,60.0,847.0,1.8493449781659388
44,22944.0,5070.0,205.0,255.0,8.0,64.0,1355.0,2.9456521739130435
45,5068.0,5071.0,170.0,262.0,8.0,60.0,847.0,1.9606481481481481
46,20516.0,5074.0,195.0,244.0,8.0,63.0,1255.0,2.85876993166287
47,8019.0,5075.0,186.0,237.0,8.0,62.0,1086.0,2.5673758865248226
48,20275.0,5078.0,195.0,244.0,8.0,63.0,1399.0,3.1867881548974943
49,22612.0,5080.0,172.0,230.0,8.0,60.0,911.0,2.2661691542288556
50,15586.0,5080.0,178.0,248.0,8.0,60.0,811.0,1.903755868544601
51,17560.0,5083.0,195.0,247.0,8.0,63.0,1420.0,3.2126696832579187
52,13215.0,5083.0,199.0,252.0,8.0,62.0,1103.0,2.4456762749445677
53,7981.0,5085.0,190.0,243.0,8.0,61.0,1367.0,3.1570438799076213
54,18697.0,5086.0,180.0,229.0,8.0,60.0,1237.0,3.024449877750611
55,4997.0,5088.0,172.0,252.0,8.0,60.0,937.0,2.2099056603773586
56,14383.0,5089.0,190.0,252.0,8.0,60.0,1606.0,3.6334841628959276
57,5504.0,5090.0,174.0,216.0,8.0,61.0,1428.0,3.6615384615384614
58,17363.0,5092.0,178.0,237.0,8.0,60.0,1068.0,2.5734939759036144
59,10162.0,5093.0,164.0,242.0,8.0,60.0,831.0,2.0467980295566504
60,21845.0,5093.0,190.0,245.0,8.0,60.0,1490.0,3.425287356321839
61,11234.0,5095.0,176.0,274.0,8.0,60.0,860.0,1.9111111111111112
62,18440.0,5095.0,187.0,236.0,8.0,61.0,820.0,1.9385342789598108
63,6576.0,5096.0,187.0,240.0,8.0,60.0,1239.0,2.901639344262295
64,12692.0,5098.0,179.0,245.0,8.0,60.0,1105.0,2.606132075471698
65,3261.0,5099.0,174.0,224.0,8.0,61.0,1120.0,2.814070351758794
66,19985.0,5100.0,189.0,234.0,8.0,62.0,956.0,2.260047281323877
67,3055.0,5104.0,179.0,227.0,8.0,61.0,852.0,2.0985221674876846
68,8076.0,5104.0,184.0,232.0,8.0,62.0,951.0,2.2860576923076925
69,8813.0,5106.0,178.0,238.0,8.0,60.0,1131.0,2.71875
70,24610.0,5106.0,168.0,235.0,8.0,60.0,1069.0,2.652605459057072
71,14392.0,5107.0,171.0,233.0,8.0,60.0,798.0,1.9752475247524752
72,128.0,5108.0,194.0,238.0,8.0,61.0,1541.0,3.5671296296296298
73,21125.0,5109.0,164.0,235.0,8.0,60.0,927.0,2.3233082706766917
74,12166.0,5110.0,198.0,243.0,8.0,61.0,1386.0,3.142857142857143
75,23024.0,5110.0,178.0,253.0,8.0,60.0,849.0,1.9698375870069607
76,7600.0,5110.0,171.0,236.0,8.0,61.0,884.0,2.171990171990172
77,5401.0,5111.0,176.0,245.0,8.0,60.0,928.0,2.204275534441805
78,19319.0,5111.0,171.0,230.0,8.0,60.0,952.0,2.374064837905237
79,7483.0,5112.0,183.0,227.0,8.0,61.0,1298.0,3.1658536585365855
80,6543.0,5112.0,188.0,242.0,8.0,61.0,1075.0,2.5
81,12344.0,5114.0,201.0,253.0,8.0,61.0,1288.0,2.8370044052863435
82,21748.0,5116.0,175.0,218.0,8.0,61.0,1298.0,3.3027989821882953
83,22292.0,5117.0,180.0,239.0,8.0,60.0,1232.0,2.940334128878282
84,8182.0,5119.0,172.0,228.0,8.0,61.0,911.0,2.2775
85,9255.0,5119.0,194.0,241.0,8.0,62.0,1500.0,3.4482758620689653
86,8464.0,5120.0,167.0,209.0,8.0,61.0,1086.0,2.8882978723404253
87,11011.0,5121.0,182.0,250.0,8.0,60.0,1140.0,2.638888888888889
88,8770.0,5121.0,182.0,244.0,8.0,61.0,1179.0,2.767605633802817
89,17922.0,5122.0,186.0,243.0,8.0,60.0,1500.0,3.4965034965034967
90,2429.0,5124.0,208.0,270.0,8.0,60.0,1702.0,3.5606694560669454
91,20715.0,5125.0,190.0,235.0,8.0,64.0,1390.0,3.2705882352941176
92,8974.0,5125.0,190.0,252.0,8.0,61.0,739.0,1.6719457013574661
93,7188.0,5127.0,194.0,248.0,8.0,63.0,1218.0,2.755656108597285
94,15248.0,5128.0,178.0,244.0,8.0,61.0,1020.0,2.4170616113744074
95,4595.0,5128.0,179.0,250.0,8.0,60.0,1292.0,3.011655011655012
96,3937.0,5129.0,198.0,242.0,8.0,62.0,1557.0,3.5386363636363636
97,6587.0,5129.0,208.0,279.0,8.0,60.0,1310.0,2.6899383983572895
98,17062.0,5129.0,188.0,245.0,8.0,61.0,989.0,2.284064665127021
99,21986.0,5129.0,183.0,228.0,8.0,62.0,1251.0,3.0437956204379564
100,4701.0,5131.0,185.0,228.0,8.0,60.0,1488.0,3.6029055690072638
101,23141.0,5134.0,182.0,239.0,8.0,62.0,863.0,2.0498812351543942
102,21291.0,5134.0,179.0,234.0,8.0,60.0,1399.0,3.387409200968523
103,9158.0,5135.0,182.0,249.0,8.0,60.0,1386.0,3.2157772621809744
104,20902.0,5136.0,176.0,241.0,8.0,60.0,864.0,2.0719424460431655
105,16417.0,5137.0,194.0,242.0,8.0,62.0,1326.0,3.041284403669725
106,15939.0,5137.0,183.0,249.0,8.0,60.0,913.0,2.113425925925926
107,1444.0,5139.0,195.0,236.0,8.0,65.0,1449.0,3.3619489559164735
108,10594.0,5140.0,196.0,241.0,8.0,61.0,1125.0,2.574370709382151
109,8367.0,5142.0,203.0,252.0,8.0,61.0,1397.0,3.0703296703296705
110,2016.0,5142.0,173.0,220.0,8.0,61.0,924.0,2.351145038167939
111,19624.0,5142.0,204.0,275.0,8.0,60.0,851.0,1.7766179540709812
112,24897.0,5144.0,186.0,255.0,8.0,60.0,1014.0,2.2993197278911564
113,16433.0,5145.0,190.0,245.0,8.0,60.0,1083.0,2.489655172413793
114,7129.0,5145.0,206.0,262.0,8.0,61.0,1304.0,2.786324786324786
115,24934.0,5146.0,212.0,263.0,8.0,64.0,1447.0,3.046315789473684
116,6077.0,5148.0,182.0,233.0,8.0,61.0,1064.0,2.563855421686747
117,13535.0,5149.0,184.0,240.0,8.0,62.0,961.0,2.266509433962264
118,4947.0,5149.0,189.0,245.0,8.0,60.0,1082.0,2.493087557603687
119,14693.0,5149.0,192.0,236.0,8.0,62.0,1227.0,2.866822429906542
120,16481.0,5150.0,188.0,242.0,8.0,61.0,1098.0,2.5534883720930233
121,3098.0,5151.0,191.0,236.0,8.0,62.0,1331.0,3.117096018735363
122,24791.0,5152.0,187.0,239.0,8.0,62.0,1077.0,2.528169014084507
123,18236.0,5152.0,170.0,233.0,8.0,60.0,856.0,2.1240694789081886
