,ID,Trophies,Wins,Losses,King Tower,Card Level,Total Level Difference,LvlDiff/Match
0,8234.0,5000,146,194,12.0,92.0,949.0,2.791176470588235
1,10610.0,5000,156,201,8.0,60.0,980.0,2.7450980392156863
2,10473.0,5000,136,170,8.0,63.0,954.0,3.1176470588235294
3,23472.0,5000,110,164,13.0,96.0,320.0,1.167883211678832
4,2842.0,5000,126,180,9.0,68.0,529.0,1.7287581699346406
5,2508.0,5000,113,168,8.0,60.0,625.0,2.224199288256228
6,3702.0,5000,107,148,8.0,60.0,422.0,1.6549019607843136
7,7981.0,5000,123,175,8.0,61.0,691.0,2.3187919463087248
8,18917.0,5000,128,177,10.0,76.0,641.0,2.101639344262295
9,20351.0,5000,111,163,8.0,60.0,460.0,1.6788321167883211
10,19279.0,5000,108,156,8.0,61.0,453.0,1.7159090909090908
11,2758.0,5000,129,187,8.0,60.0,460.0,1.4556962025316456
12,24915.0,5000,126,166,9.0,68.0,549.0,1.88013698630137
13,23138.0,5000,121,169,9.0,68.0,535.0,1.8448275862068966
14,17904.0,5000,135,196,10.0,76.0,509.0,1.5377643504531722
15,8427.0,5000,133,176,8.0,63.0,626.0,2.0258899676375406
16,16934.0,5000,128,178,11.0,84.0,376.0,1.2287581699346406
17,9840.0,5000,133,181,8.0,60.0,845.0,2.6910828025477707
18,17383.0,5000,131,188,8.0,60.0,456.0,1.4294670846394983
19,14392.0,5000,126,176,8.0,60.0,528.0,1.7483443708609272
20,9447.0,5000,120,166,8.0,60.0,496.0,1.7342657342657342
21,2597.0,5000,125,174,11.0,84.0,263.0,0.8795986622073578
22,17245.0,5000,131,171,9.0,69.0,682.0,2.2582781456953644
23,16528.0,5000,103,156,9.0,68.0,412.0,1.5907335907335907
24,2513.0,5000,109,157,8.0,60.0,626.0,2.3533834586466167
25,16420.0,5000,152,205,10.0,76.0,566.0,1.5854341736694677
26,23189.0,5000,140,184,12.0,92.0,514.0,1.5864197530864197
27,3060.0,5005,118,169,12.0,92.0,185.0,0.6445993031358885
28,2028.0,5005,67,114,14.0,104.0,87.0,0.48066298342541436
29,9150.0,5006,126,167,10.0,76.0,616.0,2.1023890784982937
30,9042.0,5006,140,189,11.0,84.0,432.0,1.3130699088145896
31,23794.0,5006,133,181,10.0,76.0,550.0,1.7515923566878981
32,14502.0,5007,115,153,9.0,69.0,689.0,2.5708955223880596
33,7860.0,5007,90,138,13.0,96.0,126.0,0.5526315789473685
34,6030.0,5008,132,173,12.0,92.0,421.0,1.380327868852459
35,24175.0,5008,72,119,14.0,104.0,125.0,0.6544502617801047
36,18802.0,5011,132,172,9.0,68.0,795.0,2.6151315789473686
37,22612.0,5012,138,184,8.0,60.0,796.0,2.472049689440994
38,14008.0,5013,134,176,8.0,60.0,673.0,2.170967741935484
39,14707.0,5013,141,177,9.0,69.0,856.0,2.691823899371069
40,13222.0,5013,110,164,10.0,76.0,430.0,1.5693430656934306
41,23158.0,5015,137,181,9.0,68.0,671.0,2.110062893081761
42,4634.0,5017,66,115,14.0,104.0,123.0,0.6795580110497238
43,6004.0,5017,86,138,11.0,84.0,298.0,1.3303571428571428
44,13551.0,5020,129,171,10.0,76.0,722.0,2.4066666666666667
45,14255.0,5020,131,182,11.0,84.0,972.0,3.1054313099041533
46,10080.0,5020,118,190,9.0,68.0,493.0,1.6006493506493507
47,23459.0,5020,98,139,13.0,96.0,368.0,1.5527426160337552
48,10454.0,5024,141,188,11.0,84.0,430.0,1.3069908814589666
49,18719.0,5025,134,180,13.0,96.0,494.0,1.5732484076433122
50,14338.0,5030,119,176,9.0,68.0,435.0,1.4745762711864407
51,13152.0,5030,140,195,9.0,68.0,509.0,1.519402985074627
52,4352.0,5031,134,178,9.0,68.0,497.0,1.5929487179487178
53,22751.0,5031,126,172,12.0,92.0,396.0,1.3288590604026846
54,7729.0,5032,139,192,8.0,60.0,527.0,1.5921450151057401
55,24897.0,5033,147,186,8.0,60.0,915.0,2.7477477477477477
56,5035.0,5034,111,149,8.0,60.0,351.0,1.35
57,6171.0,5036,123,179,10.0,76.0,414.0,1.3708609271523178
58,5074.0,5036,122,180,9.0,68.0,310.0,1.0264900662251655
59,22598.0,5036,134,186,9.0,69.0,425.0,1.328125
60,5659.0,5038,92,139,13.0,96.0,271.0,1.173160173160173
61,11236.0,5039,119,165,12.0,92.0,445.0,1.5669014084507042
62,4028.0,5040,39,77,14.0,104.0,21.0,0.1810344827586207
63,3127.0,5042,122,165,11.0,84.0,339.0,1.181184668989547
64,8250.0,5043,136,177,8.0,61.0,519.0,1.65814696485623
65,4089.0,5045,146,193,11.0,85.0,799.0,2.3569321533923304
66,21641.0,5048,131,168,10.0,77.0,675.0,2.25752508361204
67,2670.0,5048,138,179,10.0,76.0,866.0,2.7318611987381702
68,23024.0,5049,139,171,8.0,60.0,925.0,2.9838709677419355
69,23176.0,5050,136,174,8.0,61.0,556.0,1.793548387096774
70,16067.0,5051,108,151,13.0,96.0,302.0,1.166023166023166
71,11210.0,5052,127,166,10.0,78.0,573.0,1.9556313993174061
