ID,Trophies,Wins,Losses,King Tower,Card Level,Total Level Difference,LvlDiff/Match
0,16741.0,5000,110,162,8.0,60.0,308.0,1.1323529411764706
1,7406.0,5000,109,168,8.0,60.0,371.0,1.339350180505415
2,4006.0,5000,159,213,8.0,60.0,958.0,2.575268817204301
3,21577.0,5003,138,180,8.0,61.0,510.0,1.6037735849056605
4,12262.0,5008,141,185,8.0,60.0,640.0,1.9631901840490797
5,10942.0,5030,118,167,8.0,60.0,613.0,2.150877192982456
6,21480.0,5030,115,170,8.0,60.0,374.0,1.312280701754386
7,3234.0,5032,130,178,8.0,61.0,611.0,1.9837662337662338
8,11314.0,5035,148,201,8.0,60.0,585.0,1.67621776504298
9,19317.0,5038,123,178,8.0,60.0,369.0,1.2259136212624584
10,18804.0,5045,126,169,8.0,60.0,773.0,2.6203389830508477
11,2513.0,5059,100,144,8.0,60.0,352.0,1.4426229508196722
12,14554.0,5062,129,171,8.0,62.0,638.0,2.1266666666666665
13,14779.0,5064,145,195,8.0,60.0,652.0,1.9176470588235295
14,9652.0,5065,134,173,8.0,61.0,557.0,1.8143322475570032
15,14926.0,5071,134,172,8.0,62.0,666.0,2.176470588235294
16,18501.0,5072,130,169,8.0,60.0,747.0,2.4983277591973243
17,10236.0,5074,140,189,8.0,60.0,872.0,2.650455927051672
18,22975.0,5081,143,189,8.0,60.0,778.0,2.3433734939759034
19,15751.0,5083,141,192,8.0,60.0,656.0,1.96996996996997
20,9342.0,5099,121,179,8.0,60.0,487.0,1.6233333333333333
21,5649.0,5102,127,179,8.0,60.0,386.0,1.261437908496732
22,7729.0,5103,143,191,8.0,60.0,654.0,1.9580838323353293
23,70.0,5107,128,178,8.0,60.0,660.0,2.156862745098039
24,21081.0,5107,123,161,8.0,60.0,980.0,3.4507042253521125
25,6224.0,5114,132,175,8.0,61.0,835.0,2.7198697068403908
26,13070.0,5117,126,166,8.0,61.0,428.0,1.4657534246575343
27,21845.0,5130,122,165,8.0,60.0,1203.0,4.191637630662021
28,15586.0,5131,140,183,8.0,60.0,670.0,2.0743034055727554
29,14745.0,5138,144,189,8.0,60.0,633.0,1.9009009009009008
30,17290.0,5138,135,174,8.0,61.0,909.0,2.941747572815534
31,4947.0,5139,128,186,8.0,60.0,469.0,1.4936305732484076
32,16915.0,5142,140,177,8.0,62.0,1533.0,4.83596214511041
33,5068.0,5142,130,178,8.0,60.0,681.0,2.211038961038961
34,10610.0,5145,134,173,8.0,60.0,676.0,2.201954397394137
35,8473.0,5145,134,180,8.0,60.0,476.0,1.515923566878981
36,4494.0,5146,155,217,8.0,60.0,559.0,1.5026881720430108
37,17547.0,5150,126,163,8.0,61.0,448.0,1.5501730103806228
38,8284.0,5150,152,196,8.0,60.0,942.0,2.706896551724138
39,19908.0,5150,41,71,12.0,92.0,574.0,5.125
40,4192.0,5153,115,160,8.0,61.0,438.0,1.5927272727272728
41,11380.0,5154,105,168,8.0,60.0,296.0,1.0842490842490842
42,3715.0,5156,124,159,8.0,60.0,584.0,2.0636042402826855
43,23507.0,5160,130,165,8.0,60.0,822.0,2.7864406779661017
44,3156.0,5165,130,182,8.0,60.0,490.0,1.5705128205128205
45,7365.0,5169,142,180,8.0,60.0,849.0,2.6366459627329193
46,22845.0,5173,151,199,8.0,62.0,1372.0,3.92
47,19717.0,5180,138,180,8.0,60.0,701.0,2.2044025157232703
48,24011.0,5187,144,187,8.0,62.0,1201.0,3.6283987915407856
49,6077.0,5188,142,183,8.0,61.0,647.0,1.9907692307692308
50,2682.0,5190,120,164,8.0,60.0,450.0,1.5845070422535212
51,21947.0,5191,140,181,8.0,61.0,751.0,2.339563862928349
52,13202.0,5192,148,180,8.0,62.0,633.0,1.9298780487804879
53,3444.0,5192,127,182,8.0,60.0,425.0,1.3754045307443366
54,1932.0,5193,89,131,11.0,86.0,1242.0,5.6454545454545455
55,19319.0,5194,127,169,8.0,60.0,550.0,1.8581081081081081
56,21125.0,5195,136,171,8.0,60.0,615.0,2.003257328990228
57,22517.0,5197,132,186,8.0,60.0,558.0,1.7547169811320755
58,23491.0,5197,134,179,8.0,62.0,692.0,2.2108626198083066
59,14383.0,5197,148,189,8.0,60.0,1247.0,3.7002967359050447
60,9602.0,5198,136,184,8.0,61.0,364.0,1.1375
61,2314.0,5200,137,177,8.0,60.0,620.0,1.9745222929936306
62,2758.0,5202,129,164,8.0,60.0,1015.0,3.464163822525597
63,16661.0,5203,128,164,8.0,64.0,878.0,3.006849315068493
64,2164.0,5204,144,188,8.0,61.0,767.0,2.3102409638554215
65,298.0,5206,147,183,8.0,60.0,762.0,2.309090909090909
66,7101.0,5206,147,181,8.0,61.0,1055.0,3.216463414634146
67,9482.0,5212,135,167,8.0,61.0,799.0,2.6456953642384105
68,12733.0,5214,148,185,8.0,60.0,688.0,2.066066066066066
69,3591.0,5217,143,187,8.0,61.0,625.0,1.893939393939394
70,3723.0,5218,150,188,8.0,60.0,1091.0,3.227810650887574
71,6446.0,5218,151,194,8.0,60.0,893.0,2.588405797101449
72,5401.0,5218,149,190,8.0,60.0,648.0,1.9115044247787611
73,3949.0,5220,136,173,8.0,60.0,498.0,1.6116504854368932
74,18900.0,5223,148,187,8.0,60.0,617.0,1.8417910447761194
75,16605.0,5224,128,177,8.0,61.0,484.0,1.5868852459016394
76,4701.0,5226,141,178,8.0,60.0,684.0,2.1442006269592477
77,14993.0,5226,128,181,8.0,61.0,482.0,1.5598705501618122
78,7193.0,5228,133,169,8.0,60.0,469.0,1.5529801324503312
79,20351.0,5229,132,164,8.0,60.0,867.0,2.929054054054054
80,6084.0,5230,146,183,8.0,63.0,1356.0,4.121580547112462
81,17851.0,5232,149,194,8.0,61.0,627.0,1.8279883381924198
82,10762.0,5232,123,156,8.0,60.0,893.0,3.2007168458781363
83,23417.0,5236,138,172,8.0,61.0,698.0,2.2516129032258063
84,11729.0,5239,128,158,8.0,60.0,553.0,1.9335664335664335
85,5714.0,5242,142,185,8.0,60.0,992.0,3.0336391437308867
86,6576.0,5244,144,176,8.0,60.0,1168.0,3.65
87,14758.0,5244,136,178,8.0,61.0,814.0,2.5923566878980893
88,7559.0,5247,139,182,8.0,62.0,1033.0,3.218068535825545
89,89.0,5250,159,198,8.0,63.0,927.0,2.596638655462185
90,23635.0,5251,146,194,8.0,60.0,678.0,1.9941176470588236
91,7129.0,5252,134,169,8.0,61.0,412.0,1.3597359735973598
92,11726.0,5253,138,173,8.0,60.0,556.0,1.787781350482315
93,6805.0,5253,135,186,8.0,60.0,514.0,1.601246105919003
94,1455.0,5255,130,163,8.0,60.0,528.0,1.8020477815699658
95,11153.0,5255,136,165,8.0,63.0,909.0,3.0199335548172757
96,16385.0,5256,9,21,13.0,97.0,135.0,4.5
97,8182.0,5258,144,185,8.0,61.0,948.0,2.8814589665653494
98,4491.0,5260,147,185,8.0,62.0,1348.0,4.0602409638554215
99,1217.0,5260,152,194,8.0,60.0,886.0,2.560693641618497
100,4896.0,5261,155,191,8.0,62.0,887.0,2.5635838150289016
101,10162.0,5262,129,159,8.0,60.0,631.0,2.1909722222222223
102,4273.0,5262,115,157,8.0,60.0,358.0,1.3161764705882353
103,7189.0,5265,135,178,8.0,60.0,611.0,1.9520766773162939
104,14008.0,5265,136,165,8.0,60.0,689.0,2.2890365448504983
105,16417.0,5266,146,183,8.0,62.0,805.0,2.4468085106382977
106,4983.0,5268,143,181,8.0,60.0,840.0,2.5925925925925926
107,18990.0,5269,142,176,8.0,60.0,671.0,2.110062893081761
108,214.0,5277,149,185,8.0,61.0,692.0,2.07185628742515
109,19484.0,5277,138,171,8.0,62.0,577.0,1.867313915857605
110,19753.0,5278,146,187,8.0,60.0,497.0,1.4924924924924925
111,19342.0,5278,140,174,8.0,63.0,1053.0,3.3535031847133756
112,7526.0,5280,142,197,8.0,60.0,552.0,1.6283185840707965
113,21529.0,5284,137,170,8.0,61.0,875.0,2.8501628664495113
114,21748.0,5284,134,163,8.0,61.0,1152.0,3.878787878787879
115,128.0,5284,148,180,8.0,61.0,985.0,3.0030487804878048
116,1362.0,5285,145,184,8.0,61.0,767.0,2.3313069908814588
