ID,Trophies,Wins,Losses,King Tower,Card Level,Total Level Difference,LvlDiff/Match
0,8572.0,5000,141,198,8.0,60.0,598.0,1.7640117994100295
1,24610.0,5000,124,206,8.0,60.0,452.0,1.3696969696969696
2,3176.0,5000,130,198,8.0,60.0,352.0,1.0731707317073171
3,13578.0,5006,132,172,8.0,60.0,560.0,1.8421052631578947
4,6587.0,5007,135,182,8.0,60.0,885.0,2.7917981072555205
5,685.0,5041,113,162,8.0,60.0,367.0,1.3345454545454545
6,11234.0,5052,127,161,8.0,60.0,615.0,2.1354166666666665
7,16875.0,5056,133,181,8.0,60.0,719.0,2.289808917197452
8,17974.0,5056,126,182,8.0,60.0,355.0,1.1525974025974026
9,18501.0,5060,125,170,8.0,60.0,536.0,1.8169491525423729
10,17922.0,5060,140,194,8.0,60.0,499.0,1.4940119760479043
11,10359.0,5060,130,173,8.0,62.0,838.0,2.7656765676567656
12,14392.0,5071,134,192,8.0,60.0,480.0,1.4723926380368098
13,4701.0,5071,122,169,8.0,60.0,458.0,1.5738831615120275
14,20351.0,5073,129,174,8.0,60.0,750.0,2.4752475247524752
15,11726.0,5074,122,177,8.0,60.0,305.0,1.020066889632107
16,10615.0,5076,144,189,8.0,62.0,819.0,2.4594594594594597
17,17363.0,5081,134,186,8.0,60.0,554.0,1.73125
18,14745.0,5090,140,196,8.0,60.0,443.0,1.318452380952381
19,17370.0,5090,139,183,8.0,60.0,585.0,1.8167701863354038
20,8473.0,5092,132,190,8.0,60.0,566.0,1.7577639751552796
21,19656.0,5094,134,173,8.0,60.0,789.0,2.570032573289902
22,10.0,5099,134,174,8.0,61.0,561.0,1.8214285714285714
23,9840.0,5101,141,186,8.0,60.0,845.0,2.5840978593272173
24,14127.0,5102,125,167,8.0,60.0,531.0,1.8184931506849316
25,3109.0,5106,133,168,8.0,61.0,457.0,1.5182724252491695
26,17491.0,5108,137,177,8.0,61.0,484.0,1.5414012738853504
27,1704.0,5112,136,194,8.0,60.0,772.0,2.3393939393939394
