ID,Trophies,Wins,Losses,King Tower,Card Level,Total Level Difference,LvlDiff/Match
0,23830.0,5000,716,827,10.0,91.0,4610.0,2.9876863253402464
1,19000.0,5000,784,842,10.0,87.0,3968.0,2.4403444034440342
2,9660.0,5000,724,801,8.0,74.0,3466.0,2.2727868852459014
3,13130.0,5000,753,878,10.0,91.0,4117.0,2.524218270999387
4,10826.0,5000,756,884,8.0,65.0,3994.0,2.4353658536585368
5,14127.0,5000,708,829,8.0,60.0,2056.0,1.3376707872478855
6,18461.0,5000,754,878,10.0,96.0,3811.0,2.335171568627451
7,8936.0,5000,757,849,8.0,61.0,2151.0,1.3393524283935243
8,4843.0,5000,768,871,8.0,73.0,3916.0,2.389261744966443
9,8819.0,5000,782,849,9.0,81.0,4616.0,2.8301655426118946
10,24509.0,5000,762,852,9.0,85.0,3962.0,2.4547707558859977
11,6347.0,5000,770,842,8.0,69.0,3624.0,2.2481389578163773
12,2175.0,5000,744,834,10.0,97.0,4126.0,2.614702154626109
13,20954.0,5000,754,852,8.0,61.0,2059.0,1.2820672478206725
14,21169.0,5005,758,861,10.0,98.0,3747.0,2.314391599752934
15,20368.0,5006,740,815,11.0,91.0,4858.0,3.1241157556270096
16,13197.0,5008,777,874,9.0,88.0,4787.0,2.8994548758328285
17,24416.0,5008,734,816,9.0,76.0,3601.0,2.323225806451613
18,15838.0,5010,728,847,8.0,73.0,3656.0,2.3212698412698414
19,2528.0,5011,746,866,10.0,92.0,4556.0,2.826302729528536
20,19867.0,5014,751,864,8.0,65.0,4039.0,2.5009287925696593
21,1866.0,5016,766,818,9.0,71.0,4137.0,2.6117424242424243
22,2152.0,5017,728,831,8.0,68.0,3567.0,2.2880051314945478
23,14105.0,5021,727,820,10.0,97.0,3745.0,2.420814479638009
24,3364.0,5022,761,842,9.0,85.0,3852.0,2.4029943855271365
25,4271.0,5023,724,846,10.0,91.0,4083.0,2.6006369426751594
26,2230.0,5024,771,870,10.0,93.0,4377.0,2.6672760511883
27,22369.0,5025,759,880,10.0,95.0,3586.0,2.1879194630872485
28,21031.0,5026,797,844,8.0,65.0,4766.0,2.9043266301035953
29,3249.0,5027,789,866,8.0,72.0,4089.0,2.470694864048338
30,11234.0,5028,694,870,8.0,60.0,1467.0,0.9379795396419437
31,4081.0,5029,740,811,8.0,73.0,4422.0,2.851063829787234
32,18146.0,5029,787,902,8.0,67.0,3708.0,2.1953818827708704
33,15102.0,5030,777,834,8.0,72.0,4542.0,2.819366852886406
34,15089.0,5030,742,868,8.0,60.0,2231.0,1.3857142857142857
35,13138.0,5030,748,844,8.0,78.0,3324.0,2.0879396984924625
36,19945.0,5033,745,865,8.0,66.0,4106.0,2.550310559006211
37,13789.0,5033,769,842,9.0,73.0,4169.0,2.5878336436995655
38,1635.0,5036,784,865,8.0,72.0,3814.0,2.312916919345058
39,1954.0,5037,748,839,10.0,98.0,4007.0,2.5248897290485193
40,18647.0,5037,758,857,9.0,85.0,4008.0,2.481733746130031
41,16647.0,5039,790,854,9.0,82.0,5452.0,3.316301703163017
42,23700.0,5040,729,860,10.0,100.0,3388.0,2.13215859030837
43,23411.0,5042,749,853,8.0,79.0,3612.0,2.254681647940075
44,16995.0,5045,768,841,8.0,80.0,3915.0,2.433188315724052
45,1888.0,5046,744,836,10.0,96.0,3517.0,2.2259493670886075
46,20329.0,5047,744,854,10.0,91.0,4031.0,2.5225281602002503
47,23460.0,5049,774,848,8.0,66.0,4283.0,2.6405672009864367
48,13845.0,5050,765,809,8.0,66.0,5275.0,3.3513341804320205
49,2508.0,5051,734,874,8.0,60.0,2162.0,1.3445273631840795
50,1057.0,5051,738,796,9.0,87.0,3838.0,2.5019556714471967
51,6809.0,5052,770,890,10.0,91.0,4732.0,2.850602409638554
52,5828.0,5053,770,833,11.0,99.0,4709.0,2.9376169681846536
53,11720.0,5053,694,878,8.0,66.0,3173.0,2.018447837150127
54,22446.0,5054,709,801,8.0,66.0,3594.0,2.380132450331126
55,4912.0,5055,751,799,8.0,71.0,3750.0,2.4193548387096775
56,1308.0,5055,764,841,8.0,68.0,4501.0,2.804361370716511
57,6968.0,5057,748,874,8.0,76.0,3770.0,2.3242909987669544
58,19917.0,5057,721,834,8.0,60.0,1992.0,1.2810289389067524
59,7349.0,5061,755,827,12.0,93.0,4121.0,2.604930467762326
60,3965.0,5062,772,860,10.0,92.0,4484.0,2.747549019607843
61,24491.0,5062,754,870,9.0,82.0,4210.0,2.5923645320197046
62,9684.0,5063,743,811,8.0,76.0,4066.0,2.6164736164736166
63,17471.0,5063,769,849,10.0,94.0,4567.0,2.822620519159456
64,12435.0,5063,786,854,10.0,100.0,5771.0,3.5189024390243904
65,20184.0,5064,769,859,10.0,103.0,3328.0,2.0442260442260443
66,24782.0,5064,736,861,10.0,99.0,3448.0,2.159048215403882
67,9454.0,5064,742,837,9.0,82.0,4790.0,3.0335655478150727
68,8924.0,5065,741,845,11.0,92.0,3869.0,2.439470365699874
69,17558.0,5065,768,862,8.0,69.0,3188.0,1.9558282208588957
70,23024.0,5066,752,923,8.0,60.0,1695.0,1.0119402985074626
71,5487.0,5067,749,846,10.0,101.0,3800.0,2.3824451410658307
72,2420.0,5068,716,862,10.0,92.0,3539.0,2.2427122940430926
73,962.0,5068,743,845,8.0,66.0,3922.0,2.4697732997481108
74,9233.0,5069,706,850,8.0,66.0,3606.0,2.3174807197943443
75,24544.0,5069,776,840,8.0,66.0,5105.0,3.1590346534653464
76,10064.0,5069,745,864,8.0,76.0,3637.0,2.2604101926662525
77,24307.0,5070,741,883,8.0,61.0,1917.0,1.1804187192118227
78,16808.0,5070,745,836,9.0,87.0,3595.0,2.273877292852625
79,9156.0,5071,759,851,8.0,74.0,4591.0,2.851552795031056
