ID,Trophies,Wins,Losses,King Tower,Card Level,Total Level Difference,LvlDiff/Match
0,15513.0,5000,131,186,8.0,61.0,1418.0,4.473186119873817
1,8019.0,5000,122,176,8.0,62.0,1070.0,3.5906040268456376
2,23252.0,5000,137,170,8.0,65.0,1519.0,4.947882736156352
3,298.0,5000,112,161,8.0,60.0,1311.0,4.802197802197802
4,11669.0,5000,144,176,8.0,66.0,1704.0,5.325
5,22288.0,5000,114,145,8.0,63.0,1201.0,4.637065637065637
6,12295.0,5000,134,157,8.0,66.0,1347.0,4.628865979381444
7,6819.0,5000,127,177,8.0,62.0,1445.0,4.753289473684211
8,4997.0,5000,120,186,8.0,60.0,1548.0,5.0588235294117645
9,7406.0,5000,115,194,8.0,60.0,1358.0,4.394822006472492
10,19641.0,5000,127,178,8.0,62.0,1424.0,4.668852459016393
11,632.0,5000,134,180,8.0,63.0,1588.0,5.057324840764331
12,4359.0,5000,124,201,8.0,61.0,1232.0,3.790769230769231
13,12692.0,5000,121,181,8.0,60.0,1473.0,4.877483443708609
14,21617.0,5000,144,167,8.0,68.0,1403.0,4.511254019292605
15,19570.0,5000,140,179,8.0,65.0,1378.0,4.3197492163009406
16,1512.0,5000,121,188,8.0,60.0,1452.0,4.699029126213592
17,15759.0,5000,139,163,8.0,69.0,1379.0,4.566225165562914
18,344.0,5000,153,171,8.0,66.0,1186.0,3.6604938271604937
19,12561.0,5000,132,191,8.0,63.0,1758.0,5.442724458204334
20,3591.0,5000,133,181,8.0,61.0,1884.0,6.0
21,3612.0,5000,149,177,8.0,67.0,1384.0,4.245398773006135
22,22183.0,5000,147,203,8.0,61.0,1391.0,3.974285714285714
23,6991.0,5000,151,182,9.0,68.0,1797.0,5.396396396396397
24,20086.0,5000,127,196,8.0,61.0,1522.0,4.712074303405573
25,7365.0,5000,115,194,8.0,60.0,1491.0,4.825242718446602
26,10236.0,5000,127,217,8.0,60.0,1462.0,4.25
27,21577.0,5000,140,205,8.0,61.0,2007.0,5.817391304347826
28,2682.0,5000,115,203,8.0,60.0,1622.0,5.10062893081761
