ID,Trophies,Wins,Losses,King Tower,Card Level,Total Level Difference,LvlDiff/Match
0,11314.0,5000.0,458.0,663.0,8.0,60.0,4127.0,3.681534344335415
1,14961.0,5000.0,463.0,651.0,8.0,60.0,3546.0,3.183123877917415
2,6576.0,5000.0,480.0,703.0,8.0,60.0,4286.0,3.6229923922231615
3,13409.0,5000.0,460.0,623.0,8.0,61.0,4104.0,3.789473684210526
4,2758.0,5008.0,445.0,676.0,8.0,60.0,3590.0,3.2024977698483497
5,16433.0,5011.0,434.0,645.0,8.0,60.0,4021.0,3.726598702502317
6,11234.0,5027.0,437.0,650.0,8.0,60.0,3847.0,3.5390984360625577
7,21596.0,5030.0,475.0,636.0,8.0,62.0,3995.0,3.595859585958596
8,6359.0,5031.0,462.0,682.0,8.0,60.0,4305.0,3.763111888111888
9,12032.0,5036.0,479.0,690.0,8.0,61.0,3797.0,3.248075278015398
10,15513.0,5038.0,444.0,620.0,8.0,61.0,4175.0,3.9238721804511276
11,24897.0,5041.0,444.0,627.0,8.0,60.0,4299.0,4.014005602240896
12,5035.0,5044.0,448.0,675.0,8.0,60.0,3810.0,3.3926981300089047
13,6702.0,5046.0,465.0,637.0,8.0,60.0,4462.0,4.049001814882033
14,2508.0,5051.0,449.0,652.0,8.0,60.0,3459.0,3.1416893732970026
15,15248.0,5053.0,463.0,634.0,8.0,61.0,4237.0,3.862351868732908
16,3715.0,5062.0,473.0,658.0,8.0,60.0,4690.0,4.146772767462423
17,8242.0,5064.0,409.0,614.0,8.0,60.0,3313.0,3.2385141739980448
18,13991.0,5065.0,485.0,666.0,8.0,60.0,4427.0,3.8462206776715897
19,17363.0,5071.0,464.0,667.0,8.0,60.0,3699.0,3.2705570291777186
20,7365.0,5076.0,454.0,670.0,8.0,60.0,3644.0,3.2419928825622777
21,22401.0,5076.0,442.0,634.0,8.0,60.0,3461.0,3.216542750929368
22,2976.0,5081.0,447.0,669.0,8.0,61.0,3830.0,3.431899641577061
23,19471.0,5085.0,474.0,685.0,8.0,60.0,3888.0,3.354616048317515
24,23635.0,5087.0,451.0,617.0,8.0,60.0,4386.0,4.106741573033708
25,2494.0,5090.0,498.0,664.0,8.0,62.0,4406.0,3.791738382099828
26,4192.0,5091.0,447.0,612.0,8.0,61.0,4358.0,4.115203021718602
27,10162.0,5091.0,423.0,632.0,8.0,60.0,3739.0,3.5440758293838863
28,22860.0,5096.0,497.0,652.0,8.0,61.0,4163.0,3.6231505657093126
29,22765.0,5101.0,460.0,643.0,8.0,61.0,3647.0,3.3064369900271986
30,3672.0,5106.0,481.0,667.0,8.0,61.0,4285.0,3.7325783972125435
31,21429.0,5109.0,457.0,616.0,8.0,60.0,4490.0,4.18452935694315
32,18236.0,5112.0,463.0,689.0,8.0,60.0,4032.0,3.5
