ID,Trophies,Wins,Losses,King Tower,Card Level,Total Level Difference,LvlDiff/Match
0,24993.0,5000.0,168.0,217.0,8.0,63.0,4704.0,12.218181818181819
1,14008.0,5000.0,177.0,227.0,8.0,60.0,5087.0,12.591584158415841
2,16075.0,5000.0,184.0,251.0,8.0,60.0,4741.0,10.898850574712643
3,17273.0,5000.0,180.0,239.0,8.0,60.0,4885.0,11.658711217183772
4,6805.0,5000.0,158.0,209.0,8.0,60.0,4829.0,13.158038147138965
5,18501.0,5000.0,171.0,232.0,8.0,60.0,4221.0,10.47394540942928
6,21978.0,5000.0,177.0,229.0,8.0,63.0,4783.0,11.780788177339902
7,19102.0,5001.0,168.0,226.0,8.0,61.0,4342.0,11.02030456852792
8,12839.0,5005.0,163.0,235.0,8.0,61.0,3553.0,8.92713567839196
9,21480.0,5008.0,164.0,221.0,8.0,60.0,4383.0,11.384415584415585
10,14779.0,5017.0,166.0,246.0,8.0,60.0,4543.0,11.026699029126213
11,11380.0,5024.0,172.0,228.0,8.0,60.0,4737.0,11.8425
12,8813.0,5024.0,185.0,251.0,8.0,60.0,4201.0,9.635321100917432
13,4609.0,5030.0,167.0,221.0,8.0,61.0,4835.0,12.461340206185566
14,19624.0,5030.0,157.0,248.0,8.0,60.0,4273.0,10.550617283950617
15,16115.0,5030.0,173.0,230.0,8.0,61.0,4287.0,10.63771712158809
16,1455.0,5030.0,166.0,242.0,8.0,60.0,4547.0,11.144607843137255
17,20086.0,5030.0,185.0,239.0,8.0,61.0,5267.0,12.422169811320755
18,14392.0,5030.0,168.0,232.0,8.0,60.0,4468.0,11.17
19,6794.0,5031.0,161.0,213.0,8.0,61.0,4538.0,12.133689839572192
20,1704.0,5032.0,171.0,250.0,8.0,60.0,4042.0,9.600950118764846
21,13578.0,5034.0,173.0,235.0,8.0,60.0,4950.0,12.132352941176471
22,7193.0,5036.0,167.0,234.0,8.0,60.0,5123.0,12.775561097256858
23,12262.0,5036.0,186.0,247.0,8.0,60.0,4527.0,10.454965357967668
24,24957.0,5038.0,161.0,222.0,8.0,63.0,5243.0,13.689295039164492
