ID,Trophies,Wins,Losses,King Tower,Card Level,Total Level Difference,LvlDiff/Match
0,21480.0,5000,142,184,8.0,60.0,671.0,2.058282208588957
1,13202.0,5000,143,175,8.0,62.0,671.0,2.110062893081761
2,14779.0,5000,128,161,8.0,60.0,585.0,2.0242214532871974
3,7729.0,5000,143,190,8.0,60.0,607.0,1.822822822822823
4,21291.0,5000,143,197,8.0,60.0,816.0,2.4
5,14008.0,5000,133,166,8.0,60.0,614.0,2.0535117056856187
6,24786.0,5000,155,187,8.0,62.0,676.0,1.976608187134503
7,17363.0,5000,133,198,8.0,60.0,507.0,1.5317220543806647
8,15513.0,5000,128,160,8.0,61.0,411.0,1.4270833333333333
9,14127.0,5000,130,184,8.0,60.0,742.0,2.3630573248407645
10,16115.0,5000,135,174,8.0,61.0,632.0,2.045307443365696
11,15751.0,5000,143,206,8.0,60.0,638.0,1.828080229226361
12,3261.0,5001,157,187,8.0,61.0,730.0,2.122093023255814
13,17547.0,5001,122,184,8.0,61.0,367.0,1.1993464052287581
14,5035.0,5003,121,160,8.0,60.0,481.0,1.7117437722419928
15,9447.0,5003,121,160,8.0,60.0,556.0,1.9786476868327403
16,19907.0,5003,127,160,8.0,61.0,565.0,1.9686411149825784
17,3346.0,5013,146,186,8.0,61.0,828.0,2.4939759036144578
18,9972.0,5016,146,198,8.0,60.0,891.0,2.5901162790697674
19,2758.0,5016,137,171,8.0,60.0,941.0,3.0551948051948052
20,6075.0,5022,149,177,8.0,62.0,682.0,2.0920245398773005
21,8250.0,5024,148,185,8.0,61.0,530.0,1.5915915915915917
22,12847.0,5030,129,168,8.0,60.0,657.0,2.212121212121212
23,19917.0,5030,127,179,8.0,60.0,378.0,1.2352941176470589
24,298.0,5030,123,182,8.0,60.0,451.0,1.478688524590164
25,16075.0,5030,131,185,8.0,60.0,551.0,1.7436708860759493
26,1455.0,5031,135,189,8.0,60.0,596.0,1.8395061728395061
27,24399.0,5031,141,176,8.0,61.0,1412.0,4.454258675078864
28,8739.0,5031,130,167,8.0,60.0,503.0,1.6936026936026936
29,19484.0,5031,151,182,8.0,62.0,587.0,1.7627627627627627
30,17062.0,5031,128,170,8.0,61.0,671.0,2.251677852348993
31,12032.0,5032,146,191,8.0,61.0,472.0,1.400593471810089
32,10559.0,5032,142,183,8.0,61.0,445.0,1.3692307692307693
33,7189.0,5032,154,191,8.0,60.0,942.0,2.7304347826086954
34,7526.0,5033,132,173,8.0,60.0,501.0,1.6426229508196721
35,17730.0,5034,146,199,8.0,61.0,898.0,2.6028985507246376
36,22436.0,5035,132,179,8.0,60.0,849.0,2.729903536977492
37,9158.0,5036,158,198,8.0,60.0,598.0,1.6797752808988764
38,2513.0,5038,145,173,8.0,60.0,1056.0,3.3207547169811322
39,11726.0,5039,135,184,8.0,60.0,473.0,1.4827586206896552
40,10162.0,5041,136,171,8.0,60.0,623.0,2.029315960912052
41,3672.0,5048,151,191,8.0,61.0,553.0,1.6169590643274854
42,18593.0,5050,146,177,8.0,63.0,1163.0,3.6006191950464395
43,9318.0,5055,111,153,8.0,60.0,488.0,1.8484848484848484
44,8626.0,5058,128,172,8.0,62.0,465.0,1.55
45,9569.0,5059,142,173,8.0,62.0,474.0,1.5047619047619047
46,21713.0,5060,142,168,8.0,62.0,715.0,2.306451612903226
47,23993.0,5061,133,174,8.0,61.0,540.0,1.758957654723127
48,14392.0,5062,143,195,8.0,60.0,601.0,1.7781065088757397
49,24610.0,5062,142,188,8.0,60.0,666.0,2.018181818181818
50,11770.0,5064,145,175,8.0,61.0,806.0,2.51875
